#{"t_start": 1646494789.3622968, "env_id": "LunarLander-v2"}
r,l,t
-241.256027,77,0.089308
-500.435069,116,0.113363
5.280164,89,0.12932
-385.115758,77,0.143283
-95.27703,62,0.157017
-391.309813,85,0.171977
-333.057437,95,0.187934
-205.169082,85,0.201897
-89.974709,83,0.219849
-120.787702,70,0.231817
-118.404768,79,0.246777
-92.905625,92,0.265757
-120.607394,95,0.282681
-245.969553,99,0.300632
-107.674071,64,0.311604
-139.339021,81,0.329106
-300.4859,98,0.350049
-65.970408,74,0.36501
-162.237469,91,0.384963
-143.73273,87,0.400913
-175.275677,94,0.41845
-187.313631,72,0.430455
-122.407388,112,0.451362
-100.673943,72,0.46333
-104.393379,70,0.475297
-239.764483,112,0.496242
-382.125638,103,0.515192
-68.624709,78,0.529194
-254.234837,96,0.54714
-156.346551,98,0.564092
-315.298015,102,0.581015
-150.602356,94,0.598967
-203.659426,132,0.624899
-84.380792,60,0.635868
-153.806118,107,0.656813
-136.299054,59,0.666787
-78.99192,68,0.679752
-112.053673,88,0.695729
-114.591564,113,0.718649
-228.948131,76,0.73261
-135.263747,68,0.746574
-78.346568,81,0.760576
-355.390768,99,0.779525
-131.916789,74,0.793488
-172.548547,70,0.811444
-102.316718,85,0.827398
-105.98991,111,0.850336
-221.75971,114,0.873276
-75.634912,152,0.942091
-99.534956,69,0.955055
-75.575467,62,0.968022
-91.752653,97,0.98697
-111.471953,121,1.015893
-246.230116,100,1.034844
-388.9234,116,1.056815
-112.657678,72,1.070778
-79.61783,66,1.085733
-174.23408,87,1.101692
-252.560785,92,1.117621
-140.861007,105,1.136571
-103.196903,70,1.149535
-400.678701,89,1.164524
-343.509389,92,1.181478
-126.383664,84,1.196411
-83.784179,60,1.206439
-171.532572,108,1.226548
-265.415673,90,1.242474
-94.111176,62,1.253443
-356.991213,144,1.282367
-97.286597,109,1.302348
-425.646955,135,1.328278
-134.459151,84,1.343233
-165.563845,126,1.36714
-139.786485,95,1.385118
-290.39865,89,1.401081
-315.765098,99,1.420025
-125.434616,116,1.442937
-103.750007,75,1.457897
-118.997589,60,1.467871
-119.390957,107,1.491807
-304.676829,75,1.508762
-261.350324,75,1.523724
-110.425007,64,1.53569
-118.230361,62,1.547657
-64.415766,121,1.573588
-155.213692,75,1.588548
-174.497219,78,1.604505
-107.269708,62,1.615476
-340.74283,100,1.636419
-64.576532,135,1.661354
-113.173263,62,1.672324
-92.950383,59,1.683294
-285.046082,86,1.700249
-122.924884,135,1.724185
-169.837466,92,1.741139
-189.448274,73,1.755102
-101.621643,110,1.777046
-86.522961,84,1.791007
-223.963454,123,1.814942
18.169247,81,1.829902
-333.429073,86,1.847854
-133.975175,92,1.863811
-214.879366,115,1.885755
-369.527353,115,1.907694
-137.523891,118,1.930633
-120.505203,113,1.950579
-335.615392,120,1.97252
-261.121909,105,1.990473
-345.324458,154,2.048094
-86.113188,62,2.058067
-194.889915,72,2.070035
-99.760042,63,2.080008
-97.039546,70,2.093971
-136.013835,93,2.108975
-88.755248,117,2.129876
-117.107982,122,2.151848
-384.116397,96,2.168771
-64.273767,64,2.178745
-217.07131,154,2.208691
-55.793702,73,2.221661
-76.415189,72,2.235592
-352.006091,94,2.253545
-93.564012,99,2.271497
-90.183638,93,2.287485
