#{"t_start": 1645662458.9154193, "env_id": "LunarLander-v2"}
r,l,t
-243.488443,79,0.12264
-101.113212,73,0.162565
-127.958094,119,0.234342
-74.43152,93,0.289196
-311.354731,78,0.332082
-320.878065,86,0.37799
-113.458971,113,0.435806
-88.023785,81,0.476713
-304.835258,109,0.535802
-557.474084,146,0.613107
-135.030196,79,0.65482
-149.066205,97,0.704399
-287.955307,98,0.752179
-153.842649,97,0.800059
-187.858347,121,0.861892
-157.740489,130,0.928712
-148.04973,120,0.989854
-61.720933,87,1.032744
32.659841,141,1.107698
-72.302952,71,1.145598
-135.713363,82,2.215943
-327.777585,86,2.269814
-234.351218,99,2.358572
-153.607077,101,2.41346
-109.072243,144,2.488505
-125.547885,101,2.537513
-183.939954,74,2.571773
-71.461769,119,2.628623
-160.604092,120,2.685507
-129.585732,133,2.749537
-318.000012,115,2.805595
-254.59241,142,2.877601
-454.111969,91,2.920589
-396.074179,162,3.002596
-160.605533,63,3.031558
-152.088091,79,3.067597
-101.699625,82,3.106266
-391.0751,118,3.163113
-162.364008,148,3.239905
-122.410336,133,4.092587
-76.771901,65,4.128576
-431.3025,105,4.185619
-67.667099,80,4.224672
-64.007032,90,4.268639
-47.154492,68,4.300614
-159.828934,106,4.353622
-127.255388,92,4.396625
-244.920933,110,4.458587
-182.437041,124,4.575273
-156.915273,112,4.667026
-63.705799,124,4.763766
-159.043695,99,4.830587
-89.386144,96,4.900405
-57.508584,92,4.976711
-206.55054,93,5.0286
-112.133266,108,5.088923
-69.926788,112,5.148759
-107.81812,86,5.194636
-77.781499,83,5.242508
-58.234129,67,5.278413
-102.933625,61,6.364129
-56.986013,95,6.422978
-216.973162,71,6.462868
-19.663204,71,6.506752
-98.072401,69,6.546648
-62.392095,68,6.58156
-139.140264,109,6.637444
-153.364883,110,6.692297
-214.910448,121,6.750142
-117.467486,75,6.784054
-224.487494,106,6.833917
-191.872732,125,6.894749
-69.394775,66,6.923676
-375.922385,96,6.970603
-421.641724,112,7.023577
-107.062937,110,7.076168
-154.884113,91,7.120066
-183.52177,136,7.185868
-190.770493,124,7.246706
-64.259205,69,7.278616
-86.129803,86,7.318585
-160.30544,71,7.350598
-114.014928,88,8.27056
-287.503805,111,8.32753
-95.61869,89,8.37055
-134.526876,100,8.425612
-427.689366,106,8.477493
-88.200215,66,8.508699
-223.517005,101,8.55674
-109.352367,78,8.593749
-120.147708,104,8.641788
-458.541262,108,8.692821
-191.574587,112,8.744877
-177.159757,106,8.79491
-224.581774,97,8.839925
-73.208652,68,8.87398
-147.786358,98,8.920941
-136.453583,109,8.999916
-279.292786,158,9.110144
-75.473391,121,9.179954
-101.942657,76,9.221844
-91.327101,102,9.277693
-76.014851,80,10.310643
-104.645245,95,10.37259
