#{"t_start": 1645126509.6239378, "env_id": "pong-normal-v0"}
r,l,t
-3500,799,0.794855
-3500,471,1.337453
-3500,585,1.890296
-4000,663,2.551816
-4000,380,2.935821
-4000,442,3.382627
-4000,352,3.717395
-4000,356,4.073437
-3000,1239,5.331598
-3500,971,6.32183
-4000,392,6.66853
-3000,623,7.188816
-4000,504,7.659569
-3500,544,8.179414
-4000,302,8.446358
-4000,560,8.922403
-4000,399,9.28315
-4000,222,9.505548
-4000,194,9.680341
-4000,531,10.19534
-4000,903,11.099673
-3500,752,11.746515
-4000,314,12.011416
-4000,417,12.369898
-4000,407,12.788633
-4000,392,13.171356
-4000,604,13.785415
-4000,567,14.262343
-4000,248,14.471606
-3500,905,15.322416
-3500,782,15.976783
-3000,724,16.589012
-3500,741,17.22528
-3500,1216,18.250281
-4000,648,18.88733
-3000,1429,20.279374
-3000,647,20.845364
-4000,442,21.224185
-4000,434,21.593322
-4000,538,22.049834
-4000,444,22.431327
-3500,503,22.862175
-4000,779,23.524408
-3500,409,23.877777
-4000,439,24.258372
-3500,452,24.644459
-3500,551,25.114376
-4000,623,25.695366
-4000,340,25.985304
-4000,271,26.213335
-4000,705,26.821614
-4000,228,27.016376
-4000,536,27.475348
-4000,353,27.778124
-4000,503,28.233377
-4000,526,28.685578
-3000,1235,29.744821
-4000,480,30.153847
-3500,875,30.915662
-3000,1004,31.785405
-4000,1637,33.200418
-4000,679,33.781393
-3500,554,34.252823
-3500,574,34.744368
-4000,1077,35.66981
-4000,283,35.912324
-3500,285,36.156359
-4000,706,36.76536
-4000,386,37.130385
-3000,1381,38.313795
-4000,447,38.696417
-4000,688,39.291149
-4000,307,39.553448
-3500,781,40.224853
-4000,702,40.824415
-3500,522,41.274106
-4000,651,41.830766
-3000,820,42.529545
-3500,459,42.924598
-3500,795,43.604053
-4000,407,43.954377
-4000,344,44.243377
-4000,515,44.680572
-4000,365,44.991
-4000,261,45.213811
-3000,1274,46.300284
-4000,521,46.744693
-4000,464,47.141798
-4000,249,47.356492
-4000,459,47.746353
-4000,337,48.038374
-4000,407,48.402491
-4000,417,48.768645
-3000,865,49.504128
-3500,1088,50.443416
-4000,573,50.962716
2500,1463,52.214521
-4000,884,52.966535
-4000,354,53.267729
-3500,213,53.452269
-4000,156,53.583917
-4000,1303,54.692896
-3500,1064,55.598402
-3000,795,56.272412
-4000,624,56.805801
-3500,888,57.562507
-3500,2028,59.307384
-4000,617,59.836297
-4000,935,60.656346
-4000,734,61.289736
-4000,527,61.734381
-4000,587,62.236354
-4000,566,62.716513
-3500,573,63.212387
-4000,456,63.60834
-3500,564,64.096336
-3500,508,64.533419
-2500,876,65.285398
-4000,454,65.678392
-4000,895,66.446021
-4000,211,66.623137
-3500,579,67.124772
-3500,309,67.38969
-4000,382,67.717807
-4000,428,68.104613
-3000,480,68.517335
-3000,787,69.186345
-4000,401,69.529876
-4000,460,69.923386
-3500,1050,70.826416
-4000,366,71.136994
-4000,278,71.376312
-3000,515,71.835313
-3500,697,72.432989
-4000,327,72.71236
-4000,397,73.051453
-4000,322,73.324662
-3500,771,73.979918
-3500,647,74.535487
-4000,408,74.880719
-4000,383,75.203969
-4000,532,75.655337
-3500,424,76.016339
-4000,827,76.72499
-4000,222,76.912558
-4000,333,77.197413
-3500,396,77.5365
-2500,653,78.092772
-4000,388,78.427354
-4000,1766,79.931466
-4000,502,80.362331
-3500,626,80.902058
-4000,314,81.163504
-4000,360,81.474672
-4000,1644,82.87735
-3500,549,83.368379
-4000,371,83.684685
-3500,1115,84.635751
-3500,219,84.826226
-4000,1011,85.686697
2500,1302,86.790418
-4000,292,87.03933
