#{"t_start": 1645126994.6636243, "env_id": "pong-normal-v0"}
r,l,t
-3500,1174,0.197559
-4000,568,0.287552
-2500,562,0.373809
-4000,623,0.467907
-4000,520,0.556048
-4000,423,0.625853
-4000,284,0.672729
-3500,838,0.81113
-3500,1175,0.992606
-3500,553,1.09636
-4000,161,1.12628
-4000,739,1.269895
-2500,859,1.42266
-4000,358,1.487498
-3500,479,1.582244
-3500,878,1.744841
-3500,343,1.800692
-3500,1278,1.996471
-3500,939,2.13976
-3500,430,2.204617
-4000,333,2.256504
-4000,563,2.344085
-4000,1160,2.517614
-4000,365,2.577532
-4000,541,2.663582
-2500,1102,2.828346
-4000,1046,2.985929
-2500,1289,3.180588
-3000,694,3.291083
-3500,590,3.380833
-3500,814,3.502561
-4000,487,3.577058
-3500,781,3.69774
-4000,486,3.771616
-4000,471,3.843063
-3000,1148,4.017599
-4000,731,4.131326
-3500,666,4.235049
-4000,471,4.304863
-2500,736,4.417597
-4000,604,4.511347
-4000,258,4.550274
-4000,662,4.653
-4000,590,4.741768
-3500,739,4.857454
-4000,246,4.895352
-4000,607,4.988099
-4000,443,5.056922
-3000,891,5.197578
-4000,222,5.231488
-4000,427,5.296316
-4000,321,5.347147
-4000,311,5.396049
-4000,765,5.51295
-3500,594,5.603987
-4000,438,5.670943
-4000,497,5.751222
-3500,680,5.855008
-4000,158,5.878972
-4000,638,5.976708
-3500,683,6.081911
-4000,435,6.148733
-4000,357,6.203619
-4000,307,6.250558
-3500,1593,6.495574
-4000,342,6.548518
-3500,448,6.616296
-4000,378,6.673347
-4000,1168,6.855314
-4000,349,6.908454
-4000,769,7.025525
-4000,559,7.11148
-4000,1081,7.277259
-4000,505,7.353449
-3500,1107,7.521481
-3000,921,7.661628
-3500,612,7.754788
-4000,845,8.013428
-4000,930,8.67455
-4000,1610,9.852486
-4000,464,10.283627
-4000,598,10.735748
-4000,723,11.298532
-3000,767,11.845494
-4000,682,12.337573
-2500,965,13.06163
-4000,250,13.249521
-4000,647,13.727581
-4000,481,14.102706
-3000,550,14.504574
-4000,568,14.938472
-4000,470,15.336581
-3500,327,15.597547
-3500,820,16.192611
-3000,724,16.734548
-3000,698,17.232486
-3500,378,17.516519
-3500,2148,19.106524
-4000,628,19.562786
-4000,335,19.808595
-4000,754,20.389828
-3000,998,21.140603
-3500,381,21.418191
-4000,740,21.968499
-4000,182,22.104635
-3500,592,22.558223
-4000,376,22.829672
-3500,345,23.093993
-4000,251,23.288575
-3500,841,23.88888
-3500,491,24.256641
-4000,666,24.774877
-3500,284,25.02934
-4000,472,25.561563
-3500,362,25.880575
-4000,719,26.508723
-4000,529,27.004105
-3500,658,27.604496
-4000,303,27.926595
-3500,1054,29.057436
-4000,400,29.367028
-3000,547,29.872986
-4000,332,30.195909
-4000,401,30.625582
-2500,701,31.241458
-3500,299,31.5417
-3500,641,32.103308
-4000,288,32.327718
-4000,208,32.488484
-3500,506,32.859459
-4000,424,33.179447
-3000,1085,34.135505
-4000,437,34.541682
-4000,681,35.093891
-4000,1080,36.073363
-3000,527,36.56755
-3500,678,37.072502
-4000,181,37.200417
-4000,216,37.353606
-4000,440,37.669553
-3000,779,38.22216
-3000,713,38.715634
-3500,457,39.025512
-3500,434,39.310461
-4000,414,39.594889
-3500,635,40.011489
-4000,1139,40.771025
-4000,663,41.241464
-4000,459,41.572215
-3500,414,41.852697
-3500,710,42.32572
-4000,558,42.694202
-3500,420,42.986903
-4000,755,43.512389
-4000,454,43.812803
-4000,236,43.964608
-3500,2442,45.610644
-4000,380,45.88068
-4000,748,46.387507
-3500,499,46.736595
-3500,480,47.067684
-3500,729,47.580612
-4000,602,47.991668
-4000,708,48.479523
-4000,737,48.995705
-3500,792,49.527492
-4000,693,49.997287
-4000,615,50.414403
-4000,428,50.705711
-3500,1921,51.981565
-3500,446,52.280029
-3500,692,52.734638
-4000,199,52.871538
-3500,523,53.214516
-3000,1448,54.17656
-4000,577,54.546606
-4000,584,54.928604
-3500,651,55.371696
-4000,372,55.617573
-3500,440,55.901545
-4000,428,56.200535
-4000,459,56.525506
-3500,2034,57.886923
-4000,649,58.328053
-4000,468,58.659833
-4000,592,59.047653
-3000,1210,59.868672
-3000,1226,60.688784
-3500,3230,62.906657
-4000,367,63.150686
-4000,938,63.785519
-3500,380,64.040559
-3000,649,64.476406
-4000,401,64.754606
-3000,1223,65.588663
-3500,411,65.857477
-3500,1759,67.050426
-4000,381,67.307217
-3000,589,67.724604
-3500,782,68.242593
-4000,2329,69.768589
-4000,1212,70.599608
-4000,492,70.919584
-4000,583,71.313607
-4000,466,71.625556
-3000,748,72.132554
-4000,385,72.386573
-4000,448,72.685581
-2500,1781,73.871567
-4000,1050,74.593622
-3000,424,74.881716
-3500,1223,75.708714
-2500,1591,76.809857
-4000,767,77.336688
-4000,231,77.503803
-4000,667,77.964478
-3500,1323,78.876608
-3000,687,79.348546
-4000,594,79.738604
-4000,1257,80.58853
-3500,1898,81.882855
-3500,673,82.339948
-3500,616,82.734705
-3500,1057,83.449639
-3500,967,84.087448
-3500,905,84.690097
-4000,1112,85.434345
-3000,1483,86.433524
-4000,469,86.750636
-3500,2321,88.295952
-3500,1491,89.339651
-2500,1942,90.703769
-3000,1373,91.623611
-3000,678,92.083582
3000,1469,93.055946
-3000,1215,93.891914
3000,2381,95.49137
-4000,985,96.155753
-3000,1928,97.470997
-3000,4457,100.425352
-4000,841,100.996575
-3500,1494,102.027884
-3500,2761,103.931995
-3000,2373,105.563511
2500,4621,108.791578
3500,1395,109.746454
3000,2330,111.34995
-3000,2398,113.052277
-500,7500,118.21718
-3500,4284,121.110492
-3000,2434,122.722515
-3000,2245,124.21672
-2500,2148,125.696229
-3500,1150,126.45927
-3500,2097,127.870427
2500,2278,129.418983
-500,7500,134.5436
4000,2090,135.958757
-1000,7500,141.007695
1000,7500,146.246313
4000,1580,147.316725
3500,2172,148.766565
500,7500,153.817566
2500,2541,155.554613
3000,3038,157.627586
1500,7500,162.705888
-3000,5946,166.745649
0,7500,171.87554
0,7500,176.934576
0,7500,181.953444
1000,7500,186.962571
0,7500,192.009003
500,7500,197.126588
3500,2625,198.918453
0,7500,203.96455
4000,3696,206.49855
3500,2388,208.128539
0,7500,213.242557
1000,7500,218.308616
4000,5990,222.501626
3000,3750,225.454951
4000,6619,230.048533
3000,6605,234.587498
500,7500,239.804589
4000,1409,240.76262
0,7500,245.798491
4000,5593,252.460389
4000,4081,253.590828
4000,4193,254.760718
4000,1479,255.175644
4000,6753,257.061533
4000,4386,258.288481
4000,2068,258.864558
500,7500,260.968467
1000,7500,263.07272
4000,3139,263.960738
4000,2950,264.786225
4000,3183,265.678544
4000,3002,266.513536
4000,5168,267.947527
4000,6215,269.68234
4000,3418,270.637281
4000,5828,272.26551
4000,1882,272.78752
4000,2754,273.554547
4000,3857,274.631493
4000,5910,276.353648
4000,3037,277.220668
4000,2368,277.879978
4000,6367,279.674984
4000,5429,281.189084
4000,4513,282.450778
500,7500,284.612851
4000,4157,285.778634
4000,3666,286.806512
4000,3502,287.787424
4000,2374,288.451803
1000,7500,290.561528
4000,5433,292.084511
1500,7500,294.203769
4000,5401,295.773657
500,7500,297.906039
1500,7500,300.009868
4000,3032,300.860679
4000,1506,301.285488
4000,3349,302.221967
4000,6842,304.139666
4000,2189,304.749669
4000,6069,306.44253
500,7500,308.543521
1000,7500,310.692778
4000,5228,312.170785
4000,6034,313.855912
1000,7500,315.955575
4000,4612,317.24765
1000,7500,319.355703
