#{"t_start": 1645127372.3615513, "env_id": "pong-normal-v0"}
r,l,t
-4000,601,0.344115
-3000,934,0.806276
-3000,794,2.05459
-4000,636,2.46166
-4000,698,2.818992
-3500,1195,4.477986
-4000,564,4.799924
-4000,623,5.115004
-3500,790,6.401623
-3500,317,6.559483
-3500,421,6.76634
-4000,545,7.028677
-3000,1232,8.432839
-3000,917,9.625169
-4000,564,9.909242
-3500,857,10.308545
-3000,1414,11.728683
-3500,1529,13.240592
-3500,349,13.411711
-3500,640,13.7177
-4000,1097,14.998276
-4000,766,15.364208
-4000,522,15.613258
-3500,1418,17.065561
-3500,792,17.451619
-3000,1711,19.004923
-3500,1437,20.543565
-3000,1579,22.088392
-4000,411,22.283591
-4000,581,22.558531
-4000,2004,24.326981
-4000,524,24.600096
-4000,331,25.557753
-3500,987,26.054891
-3500,1223,27.49175
-4000,1182,28.080564
-4000,532,28.338775
-4000,916,29.568041
-3000,1008,30.047905
-4000,560,31.124671
-2500,1285,31.761611
-3500,788,32.940006
-4000,376,33.120992
-3000,893,33.548186
-3500,1154,34.941819
-3000,1652,36.583565
-3500,611,36.881818
-2500,970,37.350569
-3500,1037,38.678038
-4000,743,39.028721
-3500,722,40.144881
-4000,445,40.355559
-3000,1703,41.914623
-3000,1411,42.583625
-4000,313,43.45359
-3500,1584,44.207567
-3500,1363,45.606667
-4000,1314,47.082024
-3500,1824,48.706278
-4000,745,49.085592
-4000,1148,49.658581
-2500,1643,51.294319
-4000,1091,52.617584
-3000,2148,54.412859
-4000,514,54.664947
-3500,474,54.89303
-4000,918,56.130701
-3000,1402,56.800211
-2500,1688,58.422697
-3000,634,59.535482
-4000,861,59.967024
-3500,3228,63.052415
-3500,1286,63.727028
-3500,1804,65.532659
-3500,522,65.793698
-4000,866,67.081631
-4000,861,67.495667
-3000,1134,68.804869
-3500,1030,69.293775
-2500,1157,70.598058
-2500,1289,71.210585
-3500,2138,73.690544
2500,2106,75.444586
-3500,1178,76.011346
-3000,794,76.387578
-3500,1299,77.758611
-3500,1581,79.244594
-3000,1478,80.666497
-3500,1027,81.162123
-4000,823,82.273478
-3000,1511,82.9946
-3000,2026,84.685622
-3500,528,85.690595
3000,2471,87.617843
-3500,946,88.065109
-4000,676,89.107543
-4000,1499,89.830572
-3500,609,90.858465
2500,1453,91.572978
-2500,1897,93.197292
-3500,1150,94.489896
-2500,1637,96.00258
-2500,2379,97.893586
-3500,684,98.219561
-4000,1109,99.471808
-3500,1006,99.959553
-3000,1318,101.310034
-3000,1726,102.858481
-4000,490,103.112168
-3500,2806,105.191892
-2500,1482,106.643724
-2500,1220,107.222677
3500,424,108.168593
4000,1339,108.803609
-4000,1724,110.401233
-3500,2102,112.142598
-4000,1539,113.602678
-4000,1396,115.024544
2500,1939,116.693593
-3000,851,117.100624
-4000,1564,118.608788
-3000,1879,120.263544
-3000,1859,121.913494
-3500,1774,122.761758
-3000,1683,124.320549
-3000,2009,126.020814
-4000,319,126.172615
-4000,1761,127.760614
2500,1516,129.238017
-4000,1347,130.623566
-2500,2654,132.635606
-3500,2825,134.710646
-3500,1106,135.994917
2500,2727,138.030956
-3500,895,139.20259
-2500,1832,140.796552
-2500,1291,141.422564
-3500,1365,142.809627
-3000,452,143.023593
-4000,883,143.438596
-3000,1662,144.988588
3500,2632,147.72658
-4000,1376,148.379911
3000,1930,150.023876
-4000,3432,153.145651
-3500,1173,153.703888
-4000,2738,156.485073
-4000,1378,157.144581
-3000,1731,158.710571
-3000,1199,160.156762
-4000,1449,161.634516
3000,1425,162.35212
3000,3433,165.55855
-4000,1704,167.204615
-3500,1330,167.87804
-3500,880,169.066597
-3500,5015,173.101643
-2500,1099,174.411809
-3000,2427,176.306925
2500,6261,181.640592
-3500,2863,184.554297
3000,4385,188.180532
3000,7093,193.972708
3000,3492,197.121687
4000,907,197.549933
-3500,3821,200.879539
3000,3788,204.306795
3000,6613,209.893787
4000,2723,212.790483
4000,3186,215.144572
3500,5763,220.280453
3500,1880,222.0058
3500,1493,223.555559
4000,3887,226.260519
4000,1475,227.759871
3500,2334,229.605175
-500,7500,236.317585
4000,5957,241.718586
4000,3491,245.103586
3500,6469,250.610734
4000,3274,252.916609
4000,2247,254.713583
4000,1938,256.360547
4000,4498,260.70948
500,7500,266.891577
4000,3538,270.165563
4000,4387,273.903579
4000,4412,277.632582
4000,1899,279.402721
4000,1901,281.102724
4000,4220,284.68652
4000,3055,287.956016
4000,1963,289.815568
3500,3486,292.222694
4000,1385,293.624591
3500,3026,295.808211
4000,3230,298.819534
3000,4387,302.595562
4000,4459,306.336533
3500,3795,309.712326
4000,1764,311.498589
3500,6352,316.979805
3000,7487,324.171666
3500,1818,325.790908
4000,6473,331.135246
4000,6198,336.365773
4000,2786,338.46916
4000,4949,343.26954
4000,5664,348.686577
4000,5422,350.799506
4000,7199,353.600941
4000,5756,355.846547
4000,3621,357.254553
4000,4371,358.951527
4000,2691,359.998702
4000,1795,360.737591
4000,929,361.103938
4000,4776,363.023751
4000,927,363.410516
4000,3313,364.743609
4000,2764,365.855558
4000,5229,367.942615
1000,7500,370.870548
4000,1838,371.596589
4000,3597,373.085584
4000,6001,375.496513
4000,4116,377.234567
4000,2922,378.456547
4000,2563,379.503563
1000,7500,382.561734
4000,6595,385.138536
4000,3779,386.597558
4000,6362,389.059565
1500,7500,391.947562
4000,6683,394.544569
4000,2854,395.652797
4000,3461,396.993543
4000,4046,398.565522
4000,5094,400.539486
4000,3217,401.786892
4000,5137,403.77155
4000,3564,405.146578
4000,2370,406.060592
4000,5856,408.363528
4000,4803,410.277633
4000,1435,410.852512
4000,2057,411.675808
4000,2522,412.679521
4000,3027,413.88951
4000,5184,415.931515
4000,5435,418.044559
4000,3944,419.598495
4000,4247,421.258509
4000,1171,421.735663
4000,1418,422.295607
4000,3123,423.50963
4000,2429,424.454506
4000,1807,425.178458
