#{"t_start": 1646496003.4753594, "env_id": "LunarLander-v2"}
r,l,t
-284.464137,81,0.140622
-456.557953,97,0.237363
-449.445091,119,0.37321
-263.311917,88,0.452992
-552.985522,119,0.564202
-231.293063,125,0.685877
-413.96943,127,0.803562
-594.49211,176,0.968122
-670.777239,123,1.083578
-484.463452,84,1.164798
-322.983951,152,1.307517
-474.148241,88,1.389299
-379.198086,170,1.554018
-290.636388,133,1.679113
-494.766923,138,1.808725
-456.589681,193,1.998686
-295.112723,87,2.084648
-485.622604,125,2.199631
-181.90241,202,2.408586
-400.045517,216,2.633715
-118.869138,175,2.803868
-128.516011,210,3.015629
-279.339686,158,3.178742
-289.015824,132,3.31267
-366.451571,187,3.50676
-85.297196,161,3.675358
-402.810008,205,3.888785
-262.496282,176,4.073261
-318.067567,248,4.39391
200.87523,520,5.003281
-271.940363,219,5.233665
-57.285905,189,5.427179
-180.948151,135,5.560821
-80.713653,89,5.646699
-209.637207,212,5.867592
-30.366819,222,6.101017
-44.143379,300,6.481811
-65.576647,228,6.739153
-159.497696,164,6.918642
-195.181903,156,7.084203
-188.184236,154,7.234801
-206.052037,213,7.458288
-231.996432,226,7.704046
-249.720262,388,8.224829
-6.524684,172,8.408337
-231.79068,306,8.743443
-52.893045,216,8.96884
-48.302183,159,9.135394
-257.882222,311,9.507398
-3.812172,164,9.679937
19.254591,166,9.851476
-10.83342,301,10.191635
-176.24763,160,10.358189
-44.938304,179,10.547683
-16.01497,282,10.870971
14.286195,201,11.083564
-179.778969,151,11.234161
-145.716707,538,11.969619
-18.885684,246,12.238608
-152.935159,249,12.529526
236.460185,550,13.375006
209.277833,502,14.149148
-98.253856,269,14.442613
-155.991072,319,14.809984
205.007535,626,15.787699
-236.221548,286,16.098646
-161.500659,189,16.292042
-29.033168,290,16.611268
-102.86705,349,17.035995
-76.715786,247,17.305108
-200.098785,273,17.615633
-216.316929,383,18.114755
-59.013702,180,18.298662
-175.153356,224,18.547313
240.694567,974,19.928228
-198.999834,211,20.143652
-206.554971,294,20.481126
186.569601,684,21.574659
-72.52251,199,21.789455
-46.14183,314,22.163468
-95.915885,306,22.541457
30.440128,191,22.7499
-85.435468,408,23.309602
-228.82679,273,23.600702
-243.690254,259,23.88698
-242.26821,408,24.425749
-18.461193,255,24.697721
-202.548679,319,25.071732
189.093426,626,25.908793
-35.361894,347,26.35158
-247.254152,242,26.614372
-208.607374,267,26.91791
-254.927602,288,27.251019
-9.94417,231,27.489417
4.151501,356,27.903024
-84.817953,156,28.0616
89.773902,1000,29.942585
-212.594708,274,30.250329
-68.273783,295,30.606448
-212.154201,298,30.953629
-96.219332,166,31.123181
3.282287,217,31.35861
-196.300047,240,31.619684
-138.872445,318,31.97358
-84.692881,319,32.32454
-248.03107,348,32.741948
-20.145329,285,33.060416
-136.851405,206,33.270998
166.18383,637,34.249672
-111.455545,459,34.848075
-70.741425,192,35.061536
-176.087557,177,35.245046
-89.270649,195,35.447211
-111.560109,179,35.63468
-126.377073,267,35.912552
16.591589,298,36.230701
1.540005,248,36.491642
-16.266748,183,36.686608
-110.824466,107,36.788584
-11.582274,332,37.16448
-184.580463,208,37.375016
-115.771953,166,37.54262
-25.919035,101,37.64606
58.692241,238,37.899001
-111.84121,96,37.989758
200.041285,491,38.625228
-37.576326,215,38.861806
2.972007,156,39.023157
-199.713499,270,39.321398
-186.141684,210,39.545642
-251.66354,315,39.92169
-40.07594,276,40.238545
-68.384074,326,40.634669
-156.617609,227,40.867237
-72.832124,323,41.241259
-215.77204,292,41.567387
-96.103895,433,42.128709
-39.779491,190,42.331887
-206.306503,218,42.566661
-113.931379,322,42.972688
-49.192007,285,43.284665
-210.709787,339,43.690026
240.387999,461,44.267606
-190.9411,289,44.581493
-249.920481,215,44.809889
-243.560273,381,45.289684
-202.507288,160,45.450637
202.917793,609,46.313381
-19.459651,198,46.533815
11.956668,183,46.766282
19.245359,167,46.952469
-45.491564,169,47.130268
-228.08944,232,47.385664
239.890513,391,47.8419
-213.051785,323,48.224565
-200.967905,299,48.573138
233.291003,555,49.398377
-204.866405,204,49.611807
-168.267741,160,49.7754
-24.15475,278,50.085792
23.965541,207,50.305206
-28.106514,205,50.532629
-164.039295,178,50.721829
-181.752904,254,51.018288
-43.488763,312,51.381317
-90.933372,235,51.626662
-176.831083,233,51.887963
-44.147357,293,52.202128
-224.640269,420,52.77464
-225.018136,239,53.044997
-20.159961,182,53.228046
-194.770688,280,53.546044
214.157085,473,54.161561
-28.49005,121,54.28523
3.771056,186,54.475721
181.654762,654,55.572762
234.852714,518,56.253648
-206.475209,283,56.572454
3.897727,169,56.753268
-201.19222,166,56.937774
-157.489157,208,57.170784
-23.61841,222,57.412716
35.424614,163,57.582571
-11.937253,216,57.807358
2.532548,173,57.994829
-26.966002,283,58.322617
-75.221732,335,58.725173
-9.247175,424,59.325499
54.530416,181,59.511003
-144.282508,136,59.647636
-162.62663,150,59.802705
-158.004961,128,59.928676
23.036209,216,60.159261
-19.599133,155,60.322225
4.460922,220,60.55257
-115.649029,154,60.708393
293.513943,359,61.150218
-144.732231,271,61.472642
-160.263038,254,61.744765
35.343167,159,61.91084
-222.819838,283,62.253619
39.700159,177,62.439612
257.651792,450,62.994154
-131.014382,147,63.151571
-55.257461,294,63.472776
-6.120169,305,63.81575
21.37582,369,64.259563
-39.721269,266,64.55381
-105.228321,319,64.923608
-175.357497,142,65.06461
-11.904498,270,65.363262
285.268912,269,65.687357
-57.34841,274,65.995481
21.187627,231,66.247878
-157.03061,211,66.473725
-163.33054,156,66.641999
33.536056,118,66.765062
-85.398058,189,66.972113
65.067441,301,67.330204
-91.614293,265,67.61987
269.107287,329,68.000936
286.540316,308,68.358603
-4.382233,153,68.514615
-210.143018,251,68.793713
-5.533137,280,69.100017
35.6684,195,69.303793
11.693119,270,69.604022
-170.257711,153,69.760601
-4.998806,321,70.15325
252.277303,334,70.558191
-191.688695,246,70.827617
230.122534,505,71.598594
210.209583,539,72.416578
-162.056964,205,72.630597
10.326345,223,72.872595
-222.884198,262,73.157894
245.010478,353,73.575634
206.562736,367,74.066889
-41.111056,271,74.375134
213.171529,507,75.062279
-73.85805,258,75.335546
-65.143105,158,75.503071
-221.12355,394,75.982818
-224.05235,430,76.53951
-43.594853,275,76.857726
-189.94808,211,77.077565
240.505822,409,77.623601
-39.471008,221,77.86737
-192.912518,322,78.257328
227.019321,444,78.826897
229.947319,393,79.312245
-1.861156,248,79.587509
248.174554,361,80.011376
-23.366017,291,80.328634
-16.256189,359,80.7751
212.772116,418,81.315123
-266.456733,189,81.520679
-191.482974,216,81.752653
-190.004256,396,82.249892
-38.016926,429,82.885778
-88.961605,268,83.20007
-30.957572,266,83.504069
-79.690819,345,83.928929
-52.384939,232,84.173902
225.726957,447,84.765109
