#{"t_start": 1646582168.209853, "env_id": "LunarLander-v2"}
r,l,t
-241.256027,77,0.177321
-500.435069,116,0.200261
5.280164,89,0.216217
-385.115758,77,0.23018
-95.27703,62,0.245141
-391.309813,85,0.2601
-333.057437,95,0.281045
-205.169082,85,0.299993
-89.974709,83,0.324927
-120.787702,70,0.337894
-118.404768,79,0.351856
-92.905625,92,0.36881
-120.607394,95,0.390269
-245.969553,99,0.407225
-107.674071,64,0.418196
-139.339021,81,0.437145
-300.4859,98,0.458088
-65.970408,74,0.471053
-162.237469,91,0.493991
-143.73273,87,0.51394
-175.275677,94,0.534883
-187.313631,72,0.546851
-122.407388,112,0.566799
-100.673943,72,0.578796
-104.393379,70,0.593726
-239.764483,112,0.613672
-382.125638,103,0.632621
-68.624709,78,0.646584
-254.234837,96,0.667529
-156.346551,98,0.685482
-315.298015,102,0.70504
-150.602356,94,0.72202
-203.659426,132,0.753908
-84.380792,60,0.768868
-153.806118,107,0.791836
-136.299054,59,0.800812
-78.99192,68,0.814775
-112.053673,88,0.830757
-114.591564,113,0.852698
-228.948131,76,0.867633
-135.263747,68,0.886585
-78.346568,81,0.90553
-355.390768,99,0.929466
-131.916789,74,0.944426
-172.548547,70,0.960384
-102.316718,85,0.979333
-105.98991,111,1.002274
-221.75971,114,1.023215
-75.634912,152,1.055131
-99.534956,69,1.069093
-75.575467,62,1.082067
-91.752653,97,1.100017
-111.471953,121,1.124944
-246.230116,100,1.141899
-388.9234,116,1.163839
-112.657678,72,1.176806
-79.61783,66,1.190768
-174.23408,87,1.204731
-252.560785,92,1.220689
-140.861007,105,1.243627
-103.196903,70,1.258623
-400.678701,89,1.273547
-343.509389,92,1.289519
-126.383664,84,1.304466
-83.784179,60,1.316432
-171.532572,108,1.336379
-265.415673,90,1.353334
-94.111176,62,1.364304
-356.991213,144,1.396218
-97.286597,109,1.420156
-425.646955,135,1.448111
-134.459151,84,1.463072
-165.563845,126,1.487999
-139.786485,95,1.507921
-290.39865,89,1.525873
-315.765098,99,1.545819
-125.434616,116,1.570752
-103.750007,75,1.585743
-118.997589,60,1.594715
-119.390957,107,1.615632
-304.676829,75,1.631589
-261.350324,75,1.644554
-110.425007,64,1.656523
-118.230361,62,1.667493
-64.415766,121,1.698411
-155.213692,75,1.712373
-174.497219,78,1.727334
-107.269708,62,1.737306
-340.74283,100,1.761242
