#{"t_start": 1646713807.1949215, "env_id": "LunarLander-v2"}
r,l,t
-189.239019,88,0.07977
-220.259439,76,0.130635
-238.297401,102,0.191472
-107.42744,90,0.245328
-84.120556,63,0.289213
-103.445788,96,0.348053
-114.397281,94,0.410885
-249.14964,100,0.479701
-223.401821,89,0.542533
-173.091552,64,0.584421
-85.374551,119,0.660219
-97.273853,62,0.704102
-112.606642,69,0.748982
-115.630484,93,0.817798
-166.22472,145,0.932995
-148.276592,76,1.020274
-92.439979,126,1.172864
-101.14621,55,1.22971
-418.980549,130,1.443139
-85.673623,81,1.551848
-302.340378,84,1.645598
-463.027339,136,1.851048
-319.315661,103,3.880961
-109.891898,110,3.951216
-163.467731,133,4.032029
-85.907672,66,4.07094
-159.924395,113,4.145007
-73.527822,75,4.188891
-83.165203,77,4.240647
-158.725981,88,4.297939
-198.224158,105,4.372596
-276.36157,105,4.436608
-237.746057,105,4.501699
-83.099597,144,4.597557
-52.712703,71,4.640442
-83.333855,171,4.750392
-78.139514,69,4.79061
29.789821,90,4.845613
-206.329088,102,4.90562
-114.546582,84,4.954527
-95.570537,83,5.007668
-130.752527,91,5.061678
-88.433545,74,6.671581
-75.988991,75,6.722962
-97.736677,103,6.796766
-85.596602,72,6.844162
-85.563058,93,6.907988
-163.267111,84,6.96384
-169.48375,126,7.04961
-92.52546,94,7.110446
-125.398862,60,7.152335
-55.43992,129,7.243092
-38.635603,133,7.339833
-76.602292,123,7.422612
-89.342428,92,7.484447
-104.955598,73,7.531321
-84.730745,86,7.590165
-127.18554,75,7.640031
-93.166268,111,7.714832
-148.980789,146,7.823541
-146.068352,95,7.885375
-120.198245,124,7.969151
-150.09756,149,8.078858
-63.629971,99,9.566688
-72.061287,150,9.665424
-144.643283,160,9.769147
9.993273,95,9.830981
-44.914324,108,9.895808
-46.021054,132,9.972602
-278.690183,149,10.068346
-86.159659,107,10.134172
-67.25608,69,10.175061
-265.561369,126,10.252853
-106.66538,131,10.335005
-99.0744,156,10.432654
-388.924198,145,10.535565
-39.04009,85,10.592666
-210.854497,132,10.68071
-50.143972,114,10.749663
-76.59903,152,12.325385
-63.214777,146,12.417137
-62.162531,133,12.502914
-42.711327,141,12.594431
-202.478935,119,12.67322
-26.240965,132,12.757994
-70.614184,104,12.823349
-115.302933,133,12.909119
-84.696622,90,12.966963
-89.230546,132,13.051501
-113.735968,126,13.132313
-35.981415,96,13.193122
-66.601039,142,13.27856
-62.525512,126,13.363306
-56.256103,120,13.444091
-5.6108,84,13.491962
-35.55491,141,13.579587
-76.482476,126,15.180237
-261.742735,193,15.316643
-22.846459,195,15.462254
-188.420024,202,15.606719
-24.50959,138,15.694934
-33.333738,125,15.77682
-54.719053,155,15.883415
-119.43796,152,15.991041
-72.02422,103,16.061028
-47.079883,113,16.137069
-46.319949,183,16.267126
-1.354265,147,16.368011
-25.833816,167,16.481291
-55.063125,230,17.984641
-170.547509,190,18.112378
-79.926192,207,18.257989
-158.473904,193,18.389306
-217.132587,234,18.562904
32.979714,118,18.63734
-182.30874,365,18.981035
-14.355409,169,19.114176
-260.430836,186,19.248938
-183.018981,153,19.346984
-213.651657,221,20.993773
-144.665776,201,21.126655
-114.474256,237,21.320113
-156.441122,169,21.431575
-210.702926,194,21.563581
-152.702452,164,21.674824
-202.890799,200,21.82005
-250.700075,174,21.940109
-109.515742,179,22.058017
-168.11549,163,22.160039
9.129831,239,23.826083
-173.365988,185,23.964464
-172.42055,326,24.253483
-59.678519,205,24.412057
-180.042309,151,24.516932
-264.455255,277,24.730826
18.146892,135,24.830823
-235.939344,265,25.031173
-134.686718,155,25.139883
-184.838333,238,25.307019
-170.080989,159,26.902732
-198.209171,497,27.393091
-132.268871,296,27.626071
-119.132055,407,28.031042
-102.24853,180,28.156005
-6.376057,158,28.264979
-241.041162,355,28.560314
-205.336329,228,30.201784
-179.15524,254,30.39579
-238.701409,167,30.510192
-35.370167,246,30.695301
-256.930479,212,30.854569
-20.111899,264,31.050662
-241.581408,375,31.380883
-81.392436,241,31.556337
1.134964,1000,34.38638
-32.793338,236,34.576572
-150.414571,167,34.712425
-47.918715,187,34.855814
-149.542869,187,34.986588
141.790014,633,37.180468
-76.350719,336,37.454743
-132.266133,191,37.598485
-77.958607,243,37.781551
-197.501168,153,37.889606
-268.188073,346,38.177557
9.817331,270,38.384703
-86.766352,159,38.488747
-193.925825,262,40.261106
-28.294409,236,40.444154
-222.622089,202,40.592424
-169.023176,162,40.711077
-222.600237,272,40.921207
-168.984345,283,41.158833
-32.914758,205,41.303627
-23.95745,190,41.430218
184.95746,430,43.276738
-46.977771,296,43.513485
37.955418,222,43.685971
-25.342008,169,43.803983
-189.998348,161,43.913008
-166.41555,211,44.065958
-43.741888,172,44.188042
-27.42481,170,44.307002
-19.872957,192,44.444024
-244.402223,478,46.499982
-42.336198,283,46.733961
-255.593572,293,46.957322
-211.328121,201,47.101123
-23.333963,217,47.265979
-150.997904,143,47.366012
-108.833236,156,47.472982
-59.412437,176,47.602966
-191.8079,208,47.763517
-87.221454,261,47.971009
-55.759805,322,49.638175
8.572096,227,49.810293
-228.332408,384,50.166434
1.329644,237,50.358206
-278.11824,272,50.595444
-106.484547,323,50.862989
-46.055123,223,51.02207
-38.363068,308,52.723825
