#{"t_start": 1646496712.6493132, "env_id": "LunarLander-v2"}
r,l,t
-243.488443,79,0.054912
-101.113212,73,0.095775
-127.958094,119,0.164097
-74.43152,93,0.212966
-311.354731,78,0.25247
-320.878065,86,0.297356
-113.458971,113,0.354716
-88.023785,81,0.403567
-304.835258,109,0.484339
-557.474084,146,0.569618
-135.030196,79,0.610116
-149.066205,97,0.664952
-287.955307,98,0.716819
-153.842649,97,0.767682
-187.858347,121,0.8345
-157.740489,130,0.906541
-148.04973,120,0.977419
-61.720933,87,1.03053
32.659841,141,1.112422
-72.302952,71,1.149323
-135.713363,82,2.139318
-327.777585,86,2.18936
-234.351218,99,2.24622
-153.607077,101,2.305485
-109.072243,144,2.381679
-125.547885,101,2.434538
-183.939954,74,2.476631
-71.461769,119,2.538538
-160.604092,120,2.600644
-129.585732,133,2.668625
-318.000012,115,2.725633
-254.59241,142,2.799616
-454.111969,91,2.844617
-396.074179,162,2.93064
-160.605533,63,2.960561
-152.088091,79,2.998589
-101.699625,82,3.037602
-391.0751,118,3.096587
-162.364008,148,3.170638
-122.410336,133,4.046371
-76.771901,65,4.087262
-431.3025,105,4.151093
-67.667099,80,4.193977
-64.007032,90,4.239855
-47.154492,68,4.274774
-159.828934,106,4.327652
-127.255388,92,4.371533
-244.920933,110,4.424648
-182.437041,124,4.48552
-156.915273,112,4.540663
-63.705799,124,4.59954
-159.043695,99,4.647416
-89.386144,96,4.693349
-57.508584,92,4.740449
-206.55054,93,4.784366
-112.133266,108,4.837389
-69.926788,112,4.89405
-107.81812,86,4.934941
-77.781499,83,4.975829
-58.234129,67,5.008712
-102.933625,61,5.831481
-56.986013,95,5.884391
-216.973162,71,5.925288
-19.663204,71,5.965214
-98.072401,69,6.003117
-62.392095,68,6.03715
-139.140264,109,6.094099
-153.364883,110,6.148983
-214.910448,121,6.208823
-117.467486,75,6.244727
-224.487494,106,6.296592
-191.872732,125,6.357492
-69.394775,66,6.388586
-375.922385,96,6.43453
-421.641724,112,6.489026
-107.062937,110,6.543896
-154.884113,91,6.588776
-183.52177,136,6.655598
-190.770493,124,6.715506
-64.259205,69,6.748589
-86.129803,86,6.789552
-160.30544,71,6.823529
-114.014928,88,7.688633
-287.503805,111,7.748629
-95.61869,89,7.799564
-134.526876,100,7.853749
-427.689366,106,7.906766
-88.200215,66,7.93859
-223.517005,101,7.989523
-109.352367,78,8.028591
-120.147708,104,8.078517
-458.541262,108,8.132536
-191.574587,112,8.187531
-177.159757,106,8.240525
-224.581774,97,8.2875
-73.208652,68,8.320512
-147.786358,98,8.369529
-136.453583,109,8.42352
-279.292786,158,8.504532
-75.473391,121,8.565045
-101.942657,76,8.60194
-91.327101,102,8.65181
-76.014851,80,9.513036
-104.645245,95,9.565402
-172.251864,88,9.612277
-259.323319,142,9.697556
-60.719695,63,9.729471
-175.837195,92,9.777494
-105.943045,98,9.826395
-130.862625,83,9.868627
-60.04443,122,9.930946
-203.364744,98,9.978844
-122.862232,112,10.035696
-94.963551,91,10.080577
-124.305913,73,10.11462
-89.076374,106,10.16568
-287.477327,115,10.222629
-63.693274,141,10.291625
-114.353572,103,10.34062
-77.91033,74,10.375526
-80.514487,66,10.407588
-23.04121,104,10.458565
-105.819047,83,10.497693
-88.970361,113,11.372251
-54.682342,77,11.418164
-85.208526,72,11.455029
-21.46604,133,11.528831
-71.891739,73,11.568751
-106.734418,101,11.621584
-14.790753,109,11.679495
-85.340333,110,11.735125
-109.933976,76,11.773027
-67.835064,69,11.806933
-49.243265,94,11.854805
-118.012313,123,11.916642
-81.546297,65,11.948557
-49.091274,93,11.995234
-108.800997,79,12.033122
-249.387965,127,12.096948
-84.497774,124,12.159779
-63.960789,80,12.198681
-135.791244,99,12.247544
-229.977682,96,12.295382
-57.638576,61,12.325387
-152.684864,180,13.238728
-121.439122,108,13.299612
-245.175863,151,13.383561
-43.915223,94,13.433524
-130.946397,120,13.495649
-279.844009,118,13.55652
-83.264634,84,13.59954
-84.913673,152,13.678917
-155.02615,121,13.741452
9.241618,82,13.782405
-7.763566,107,13.836457
-77.964301,105,13.888531
-232.398176,144,13.958556
-11.218028,176,14.05055
-61.813209,89,14.092522
-102.20215,90,14.137511
-69.815169,133,14.202538
-179.243997,165,14.286497
-89.642327,116,15.163308
-73.084637,78,15.211179
-94.794542,127,15.28101
-103.081909,140,15.358123
-0.310267,121,15.422981
-117.538067,107,15.479573
-102.387325,104,15.53253
-23.372404,82,15.573522
-92.260961,86,15.616598
-66.785075,114,15.675508
-106.150441,106,15.728575
-35.158651,94,15.77651
-76.822955,148,15.854413
-46.076089,97,15.905161
-156.734784,118,15.965994
-83.212103,89,16.011868
-151.452935,128,16.077695
-82.62108,121,16.140529
-61.414518,82,16.990042
-22.066028,109,17.051889
-52.323945,91,17.102766
-47.651813,112,17.164612
-39.89382,127,17.233591
-7.605075,169,17.329589
-83.198594,90,17.377624
-34.922563,120,17.439676
-117.562549,158,17.522721
-26.675308,113,17.580745
-43.033804,106,17.634654
-45.363015,139,17.707765
-44.741463,125,17.771775
13.204487,139,17.846782
-101.798101,126,17.916761
-19.143815,144,17.990674
-53.970062,132,18.057758
-162.848302,99,18.919578
-70.616998,238,19.069565
-41.431424,92,19.118157
-21.889573,197,19.227824
-38.463394,137,19.298623
-228.755593,147,19.373888
-6.71607,223,19.498807
-30.980824,139,19.572779
-111.565567,176,19.673809
-215.741085,167,19.768903
-91.972688,133,19.838973
-142.725744,119,19.900961
-92.210105,171,19.990009
-172.286858,183,20.878564
-11.364186,147,20.965532
-37.558245,165,21.057627
-31.033943,183,21.160654
15.244063,149,21.239933
-44.045354,156,21.323591
18.034406,137,21.395512
97.133974,1000,23.390538
-341.821092,393,23.6917
-5.098732,158,23.776949
-79.624024,246,23.928093
-84.387797,145,24.00498
-47.306093,216,24.1331
-231.59935,149,24.211924
-35.11543,199,24.321629
-322.239109,200,24.435507
-53.181294,177,24.531152
-232.410504,232,25.510715
2.099786,129,25.596491
-18.372061,195,25.713892
-296.414956,191,25.817648
-74.87714,169,25.9096
-230.961949,287,26.080515
-57.782987,210,26.203801
39.235245,163,26.289603
-97.08955,236,26.430916
-92.715672,135,26.501728
35.080317,112,26.559571
-6.649788,198,27.455147
