#{"t_start": 1644431871.9231904, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.031986
17.0,17,0.047982
59.0,59,0.119993
14.0,14,0.135982
35.0,35,0.175982
11.0,11,0.184015
25.0,25,0.207983
15.0,15,0.232018
17.0,17,0.239985
9.0,9,0.255999
41.0,41,0.287987
17.0,17,0.304017
25.0,25,0.32801
13.0,13,0.335982
34.0,34,0.360036
24.0,24,0.384009
20.0,20,0.400018
20.0,20,0.408009
26.0,26,0.431985
22.0,22,0.440009
15.0,15,0.456013
33.0,33,0.47201
14.0,14,0.487985
11.0,11,0.496009
19.0,19,0.504016
16.0,16,0.519984
18.0,18,0.52801
27.0,27,0.552009
27.0,27,0.568012
22.0,22,0.584011
39.0,39,0.608025
19.0,19,0.623998
10.0,10,0.631994
18.0,18,0.64801
15.0,15,0.664011
25.0,25,0.687982
66.0,66,0.751983
53.0,53,0.799983
27.0,27,0.823984
26.0,26,0.84801
18.0,18,0.871989
21.0,21,0.887982
12.0,12,0.896009
17.0,17,0.919984
16.0,16,0.935982
22.0,22,0.960046
24.0,24,0.976016
16.0,16,0.992013
67.0,67,1.039984
16.0,16,1.055985
39.0,39,1.080045
11.0,11,1.087989
15.0,15,1.104004
13.0,13,1.112008
13.0,13,1.120013
13.0,13,1.128016
15.0,15,1.13599
16.0,16,1.144009
21.0,21,1.168009
28.0,28,1.184011
11.0,11,1.192009
23.0,23,1.208009
14.0,14,1.224015
53.0,53,1.264004
46.0,46,1.303983
22.0,22,1.328009
44.0,44,1.368007
48.0,48,1.400028
13.0,13,1.416009
10.0,10,1.424012
17.0,17,1.43999
26.0,26,1.472019
14.0,14,1.480009
11.0,11,1.496008
17.0,17,1.512005
39.0,39,1.543981
12.0,12,1.559981
22.0,22,1.575984
8.0,8,1.584008
25.0,25,1.607985
23.0,23,1.631983
14.0,14,1.639983
15.0,15,1.65604
13.0,13,1.671984
16.0,16,1.680004
16.0,16,1.696004
13.0,13,1.711998
13.0,13,1.72
18.0,18,1.736009
15.0,15,1.744008
13.0,13,1.760026
14.0,14,1.76801
26.0,26,3.607979
38.0,38,3.639979
16.0,16,3.65598
39.0,39,3.69601
15.0,15,3.71198
46.0,46,3.751979
20.0,20,3.775981
16.0,16,3.783978
34.0,34,3.808011
21.0,21,3.824016
24.0,24,3.840007
12.0,12,3.848015
22.0,22,3.864006
12.0,12,3.871982
12.0,12,3.880006
19.0,19,3.896007
12.0,12,3.903978
38.0,38,3.928045
63.0,63,3.975982
14.0,14,3.984007
22.0,22,4.000005
19.0,19,4.008035
17.0,17,4.016007
80.0,80,4.072
23.0,23,4.087981
18.0,18,4.096007
73.0,73,4.152012
17.0,17,4.160007
23.0,23,4.175982
45.0,45,4.208046
21.0,21,4.224013
18.0,18,4.232012
18.0,18,4.247991
69.0,69,4.328007
55.0,55,4.367981
25.0,25,4.384007
26.0,26,4.407981
30.0,30,4.432006
11.0,11,4.439981
17.0,17,4.456017
38.0,38,4.487978
25.0,25,4.503977
24.0,24,4.520007
27.0,27,4.544006
67.0,67,4.584006
29.0,29,4.608014
32.0,32,4.624013
34.0,34,4.648005
34.0,34,4.671979
55.0,55,4.712005
24.0,24,4.728026
15.0,15,4.736012
10.0,10,4.744005
43.0,43,4.776012
12.0,12,4.776012
36.0,36,4.80801
23.0,23,4.824012
38.0,38,4.848005
18.0,18,4.856043
16.0,16,4.87198
19.0,19,4.880011
32.0,32,4.903995
15.0,15,4.912012
30.0,30,4.936007
24.0,24,4.952012
65.0,65,5.000011
16.0,16,5.007979
33.0,33,5.032006
50.0,50,5.064006
29.0,29,5.080011
15.0,15,5.096014
33.0,33,6.895976
73.0,73,6.967974
9.0,9,6.975977
39.0,39,7.007976
38.0,38,7.048006
52.0,52,7.095984
16.0,16,7.112005
18.0,18,7.128004
14.0,14,7.136004
17.0,17,7.151977
92.0,92,7.22398
101.0,101,7.288012
29.0,29,7.312004
26.0,26,7.328011
44.0,44,7.360024
29.0,29,7.384011
30.0,30,7.400024
18.0,18,7.416002
23.0,23,7.432009
13.0,13,7.439976
24.0,24,7.455992
26.0,26,7.471977
78.0,78,7.536009
65.0,65,7.576003
25.0,25,7.592009
21.0,21,7.600029
32.0,32,7.623975
49.0,49,7.655977
14.0,14,7.671974
72.0,72,7.72798
42.0,42,7.775983
63.0,63,7.855985
47.0,47,7.911981
36.0,36,7.959982
14.0,14,7.975979
49.0,49,8.039977
48.0,48,8.095978
13.0,13,8.128015
22.0,22,8.152002
17.0,17,8.168003
42.0,42,8.200002
59.0,59,8.264039
33.0,33,8.304002
31.0,31,8.336009
26.0,26,8.367991
37.0,37,8.407977
25.0,25,8.431975
66.0,66,8.511997
23.0,23,8.552004
23.0,23,8.584003
28.0,28,8.624002
38.0,38,8.672013
49.0,49,8.735984
37.0,37,8.767978
58.0,58,8.815976
27.0,27,10.471974
64.0,64,10.527972
53.0,53,10.576003
25.0,25,10.599972
96.0,96,10.672002
29.0,29,10.696001
42.0,42,10.720001
136.0,136,10.807972
98.0,98,10.872011
33.0,33,10.896004
117.0,117,10.976004
44.0,44,10.999999
34.0,34,11.023971
34.0,34,11.047999
22.0,22,11.064
121.0,121,11.136
18.0,18,11.151998
37.0,37,11.176005
68.0,68,11.216
66.0,66,11.263999
36.0,36,11.288001
96.0,96,11.352005
37.0,37,11.376004
40.0,40,11.400004
40.0,40,11.431998
64.0,64,11.472
34.0,34,11.495998
91.0,91,11.551998
93.0,93,11.607974
20.0,20,11.623973
98.0,98,11.688005
45.0,45,11.719999
28.0,28,11.735999
71.0,71,11.776005
25.0,25,11.791973
44.0,44,11.823974
83.0,83,13.512
114.0,114,13.61597
213.0,213,13.760001
85.0,85,13.815997
18.0,18,13.831997
131.0,131,13.935999
169.0,169,14.071998
15.0,15,14.087971
115.0,115,14.191974
92.0,92,14.255996
77.0,77,14.303996
59.0,59,14.344032
174.0,174,14.447997
100.0,100,14.52797
174.0,174,14.639998
100.0,100,14.703996
208.0,208,14.84033
104.0,104,14.903996
25.0,25,14.919996
36.0,36,16.59198
177.0,177,16.751998
60.0,60,16.799994
243.0,243,16.959986
167.0,167,17.071994
119.0,119,17.151993
42.0,42,17.175973
149.0,149,17.279994
195.0,195,17.392028
211.0,211,17.528
152.0,152,17.624001
142.0,142,17.712033
204.0,204,17.839993
22.0,22,17.855998
70.0,70,17.895992
75.0,75,17.943965
134.0,134,19.791963
109.0,109,19.88799
75.0,75,19.935993
133.0,133,20.031992
132.0,132,20.112022
276.0,276,20.28799
182.0,182,20.415996
158.0,158,20.535995
47.0,47,20.56799
321.0,321,20.76799
145.0,145,20.863996
68.0,68,20.903995
131.0,131,20.999995
132.0,132,21.079993
302.0,302,22.927959
259.0,259,23.095962
316.0,316,23.295959
159.0,159,23.391986
169.0,169,23.503995
293.0,293,23.688002
239.0,239,23.84796
296.0,296,24.039991
288.0,288,25.975986
225.0,225,26.127983
349.0,349,26.351993
95.0,95,26.431985
229.0,229,26.575983
205.0,205,26.71999
127.0,127,26.799984
265.0,265,26.967984
199.0,199,27.087984
133.0,133,28.815997
244.0,244,29.015988
338.0,338,29.23998
230.0,230,29.383983
203.0,203,29.511982
350.0,350,29.735981
213.0,213,29.871984
237.0,237,30.015986
215.0,215,31.879982
218.0,218,32.071978
238.0,238,32.223986
323.0,323,32.439978
286.0,286,32.655978
284.0,284,32.839978
72.0,72,32.887978
178.0,178,32.999964
364.0,364,33.223978
466.0,466,35.231976
244.0,244,35.383946
189.0,189,35.511976
208.0,208,35.679978
220.0,220,35.871959
300.0,300,36.071981
255.0,255,36.239947
238.0,238,38.015975
160.0,160,38.151944
500.0,500,38.487973
337.0,337,38.711971
233.0,233,38.863993
315.0,315,39.071978
257.0,257,39.239971
500.0,500,41.255956
455.0,455,41.56799
500.0,500,41.903974
500.0,500,42.231942
462.0,462,44.167938
500.0,500,44.527966
500.0,500,44.863973
500.0,500,45.18397
500.0,500,47.327938
500.0,500,47.695967
500.0,500,48.031962
500.0,500,48.359967
500.0,500,50.279963
500.0,500,50.67996
169.0,169,50.78396
500.0,500,51.119958
500.0,500,51.43995
500.0,500,53.495928
500.0,500,53.855958
500.0,500,54.175965
500.0,500,54.503956
500.0,500,56.423926
500.0,500,56.807927
500.0,500,57.127954
500.0,500,57.503927
500.0,500,59.519922
500.0,500,59.89595
500.0,500,60.223961
500.0,500,60.559924
